cycle,V_mean_V,V_spread,V_mean_rolling,V_mean_lag_1,V_min_fade,Tavg_C,thermal_range,delta_T_ambient,cold_cycle_count,Tavg_rolling,eclipse_flag,QD_Ah,coulombic_eff,discharge_C_rate,capacity_retention,QD_rolling,cycle.1,cumul_Ah,SOH_lag_1,QD_diff,SOH
2,7.94997427186179,0.847289174964331,7.94589487697226,7.94181548208273,0.0291646754753198,17.7448328648372,33.40527484204372,19.7448328648372,2,13.8987865729073,0,4.03453137462601,1.020408163265306,6.728707292664328,0.99993364843335,4.034665232246375,2,8.06933046449275,0.999950208145413,-0.000267715,0.999883859882531
3,7.95703716904135,0.8913618167282893,7.949608974328624,7.94997427186179,0.0032344246696807,15.2186827309461,40.295351461404735,25.2186827309461,3,14.338751958920232,1,4.03428161291051,1.020408163265306,7.1185027232572855,0.9998717465368896,4.034537359134419,3,12.10361207740326,0.999883859882531,-0.000249762,0.99982196106828
4,7.9778238890124,0.8265222868396291,7.956662702999568,7.95703716904135,0.0698130193822903,17.9451937130653,32.99917464642131,19.9451937130653,4,15.2403623974565,0,4.03401353548119,1.0204081632653077,7.181675986259352,0.9998053052040378,4.034406403221112,4,16.13762561288445,0.99982196106828,-0.000268077,0.999755523043665
5,7.95574818006975,0.9016311970693608,7.9564797984136035,7.9778238890124,-0.00529026,14.9893329092931,40.45866548784143,24.9893329092931,5,15.19015649982382,1,4.03375691824083,1.020408163265307,6.880295534221049,0.9997417042081408,4.034276506225057,5,20.17138253112528,0.999755523043665,-0.000256617,0.999691925214579
6,7.97162158186795,0.8385312080791305,7.959003428989328,7.95574818006975,0.0577929144386306,17.9361476233072,33.140946390379526,19.9361476233072,6,15.64782168707105,0,4.03348538492858,1.0204081632653057,7.033411012185189,0.9996744063560788,4.034144652675644,6,24.204867916053857,0.999691925214579,-0.000271533,0.999624630713402
7,7.9249564584766,0.8969058104658902,7.954139576058938,7.97162158186795,-0.036409275,14.4595313078764,40.75729878664712,24.4595313078764,7,15.478065918614671,1,4.0332458552253,1.0204081632653073,6.5729218123035205,0.999615040400564,4.03401625303988,7,28.23811377127916,0.999624630713402,-0.00023953,0.999565267713829
8,7.94301267405788,0.8346833372728701,7.952748713308806,7.9249564584766,0.0341671351220602,18.1069966069976,33.06976440068977,20.1069966069976,8,15.806682254662537,0,4.03299423452165,1.0204081632653053,7.140275830991563,0.9995526777653876,4.0338885007251015,8,32.271108005800805,0.999565267713829,-0.000251621,0.999502908183805
9,7.93388434444104,0.8897926157817597,7.950652672323498,7.94301267405788,-0.021953379,14.9825411628589,40.46746939744495,24.9825411628589,9,15.71511102223991,1,4.0327547309517,1.020408163265305,6.910496193741815,0.9994933182868572,4.033762526305834,9,36.30386273675251,0.999502908183805,-0.000239504,0.999443551660893
10,7.95452215263548,0.8495132250719593,7.951039620354697,7.93388434444104,0.0384742374626405,18.147826018147,33.16231724290351,20.147826018147,10,15.95838252183062,0,4.03249003826915,1.020408163265308,7.045909313114459,0.9994277158425584,4.0336352775021656,10,40.33635277502166,0.999443551660893,-0.000264693,0.99937795248306
11,7.95241019802189,0.8824339912435208,7.952099091948613,7.95452215263548,-0.000358465,14.901831977252,40.40891473550216,24.901831977252,11,16.44329169145808,1,4.03224417375711,1.020408163265308,6.99416192096938,0.999366779843872,4.033379785891204,11,44.36859694877877,0.99937795248306,-0.000245865,0.99931701951849
