cycle,V_mean_V,V_spread,V_mean_rolling,V_mean_lag_1,V_min_fade,Tavg_C,thermal_range,delta_T_ambient,cold_cycle_count,Tavg_rolling,eclipse_flag,QD_Ah,coulombic_eff,discharge_C_rate,capacity_retention,QD_rolling,cycle.1,cumul_Ah,SOH_lag_1,QD_diff,SOH
2,1.7505649117285476,-0.9920640057160776,1.7563306943791148,1.6890712720343726,2.139279555910169,0.8176264665086661,-0.9208840922798559,-1.0896135706288423,-1.7317327374518683,-23.878915166540665,0,1.74283588873497,-2.220446049250313e-16,1.2530602130850454,1.742835888737126,1.7403264772608493,2,-1.812547232694401,1.7431123971879587,-2.3532888538749352,0.999883859882531
3,1.8031179209899904,-0.5684193088472778,1.7845842234856466,1.749767735079435,1.9576466435127384,-0.8682733933775356,0.9988080276822807,1.0603831624106976,-1.731096538797404,-19.86686233155629,1,1.7419579515201,-2.220446049250313e-16,2.004438910966225,1.7419579515222563,1.7398770306623246,3,-1.811821718815332,1.742171371165835,-1.8785835060370961,0.99982196106828
4,1.957785992658219,-1.1916840346586637,1.838242679145847,1.8023114197752381,2.4240078889793493,0.9513431136004725,-1.0340304894129135,-1.0109166425697491,-1.7304603401429397,-11.645059364823334,0,1.741015632753608,1.5543122344752192e-15,2.1262131555313575,1.7410156327557629,1.7394167486773766,4,-1.8110962531465555,1.7412934522510264,-2.3628606990215557,0.999755523043665
5,1.7935269206341524,-0.4697057226519195,1.836851304729019,1.9569520484367404,1.897934020004789,-1.021336676118428,1.0443100833123797,0.9703000619716147,-1.7298241414884754,-12.102887913008741,1,1.7401135976885538,8.881784197001252e-16,1.5452652175965695,1.740113597690707,1.7389601885597519,5,-1.810370833627103,1.740351153126595,-2.0598404079158006,0.999691925214579
6,1.9116363891006523,-1.0762492525669236,1.8560488278642684,1.7927221211661435,2.339810991517607,0.945305942154843,-0.9945304787823908,-1.0144697293190073,-1.7291879428340111,-7.929430249421252,0,1.7391591311506207,-4.440892098500626e-16,1.8404141583708091,1.739159131152775,1.7384967515761625,6,-1.809645462939439,1.7394491368639085,-2.4542427344544966,0.999624630713402
7,1.5644144772669202,-0.5151281183852351,1.819048987215716,1.9108106332781571,1.6799555142141653,-1.3749152040185457,1.127514381631017,0.7622067199788913,-1.7285517441795468,-9.477436373862918,1,1.7383171604740681,1.1102230246251565e-15,0.9527645138660078,1.7383171604762206,1.7380454543592334,7,-1.8089201353281246,1.7384946902212592,-1.6080334520585544,0.999565267713829
8,1.6987656423122977,-1.1132365988222046,1.8084685480339846,1.563650329591208,2.1743201469788245,1.0593269869854922,-1.0143629875104754,-0.9473643527079746,-1.7279155455250823,-6.4807776716616035,0,1.7374326887313725,-8.881784197001252e-16,2.046409257599897,1.7374326887335207,1.7375964323369137,8,-1.8081948529675709,1.7376527370950883,-1.9277383682679512,0.999502908183805
9,1.6308443376834283,-0.5835031257620696,1.7925237438716946,1.6979776564915419,1.78121433008429,-1.0258693458945372,1.04676300173759,0.9676324271255129,-1.727279346870618,-7.315817505075713,1,1.7365908099160687,-1.1102230246251565e-15,1.6034807081972329,1.7365908099182172,1.737153659236495,9,-1.807469613678667,1.7367682837886869,-1.607345971467913,0.999443551660893
10,1.7844043991716523,-0.9706855043157435,1.7954672982304591,1.6300684032498767,2.2044899879100686,1.0865756835742342,-0.9885761970735504,-0.9313275408241408,-1.7266431482161537,-5.097420011471253,0,1.7356603888703552,1.7763568394002505e-15,1.8645061726452616,1.735660388872504,1.7367064069478768,10,-1.8067444219913518,1.7359264225218392,-2.273382455993469,0.99937795248306
11,1.768689945520968,-0.654237307719433,1.8035268100429194,1.7836012183274172,1.932479628372074,-1.0797329713698023,1.0304486805292066,0.9359317978379826,-1.7260069495616894,-0.6755239474554857,1,1.7347961507123844,1.7763568394002505e-15,1.7647567013146999,1.7347961507145297,1.7358084086608103,11,-1.8060192745196202,1.73499602087017,-1.7755407421244325,0.99931701951849
